Year,Location (Optional),Text,Blurb Writer,Sources (ONE URL PER COLUMN),,
1987,,"Hong, Ou, and Mandel observe two photon interference. The ‘Hong-Ou-Mandel’ effect has become a key tool for identifying when photons are indistinguishable, which is a key component for tests of Bell’s inequalities. ",HMN,https://arxiv.org/pdf/2005.08239#cite.Burnham%3A1970dv  ,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.59.2044,
1991,,"ArXiv is founded by Paul Ginsparg. It is common practice for researchers in quantum and to ‘preprint’ their research papers online on the ArXiv while they submit their papers to a peer-reviewed journal. While many of these papers are eventually peer-reviewed and published scientific journals, the work almost always remains on the ArXiv where anyone can read it for free. ",HMN,https://info.arxiv.org/about/index.html ,,
1995,"Boulder, Colorado, USA","First Bose-Einstein Condensate (BEC) created by research groups led by Eric Cornell and Carl Wieman. BECs now exist in labs around the world, where they are themselves studied or created on the way to cool atoms for other experiments.",HMN,https://www.aps.org/apsnews/2004/06/june-5-1995-first-bose-einstein-condensate,,
1995,,Introduction to Quantum Mechanics by David J. Griffiths is published. Today ‘Griffiths’ remains a popular textbook for undergraduate physics courses. ,HMN,,,
1996,,"David DeVincenzo publishes a paper “Topics in Quantum Computers” in which he introduces five requirements for a good quantum computer. Paraphrasing, the DeVincenzo criteria are 1) having good, scalable qubits; 2) being able to initialize the qubits; 3) long coherence times, meaning the system is isolated from its environment, 4) universal gates; and 5) good measurements. People building quantum computers are constantly looking to improve on each of these critieria. ",HMN,https://arxiv.org/pdf/cond-mat/9612126,,
1997,,"In this paper ""Fault-tolerant quantum computation by anyons,” Alexi Kitaev proposes a new scheme for quantum computing, in which quantum bits are encoded in a delocalized way which is resistant to error. Making quantum computers which are resistant to noise is an ongoing challenge, and Kitaev’s ‘toric code’ continues to inspire many experimental and theory groups around the world.",HMN,https://arxiv.org/pdf/quant-ph/9707021v1,,
1997,,Neil A. Gershenfeld and Isaac L. Chuang propose how to do quantum computation using nuclear magnetic resonance techniques in their paper “Bulk Spin-Resonance Quantum Computation.”  ,HMN,https://www.science.org/doi/abs/10.1126/science.275.5298.350,,
1997,"Nijmegen, Netherlands","A frog is levitated in the lab of Andre Geim, illustrating diamagnetism. Understanding the origins of magnetism and studying different types of magnetism (diamegnetic, paramagnetic, feromagnetic) and other phases of matter is an ongoing area of research in quantum and condensed matter physics.",HMN,https://news.harvard.edu/gazette/story/2024/04/how-did-you-get-that-frog-to-float/,https://www.physics.umd.edu/grt/taj/411c/FlyingFrogs.pdf,
1998,,"The first ‘quantum computer,’ based on nuclear magnetic resonance, runs the Deutch-Jozsa algorithm. ",HMN,https://pubs.aip.org/aip/jcp/article-abstract/109/5/1648/529426/Implementation-of-a-quantum-algorithm-on-a-nuclear?redirectedFrom=fulltext,https://www.jstor.org/stable/52182?seq=1,
1999,,Mølmer and Sørensen propose how to perform a logical gate between ions in their paper “Quantum Computation with Ions in Thermal Motion.” The ‘Mølmer-Sørensen gate’ is an important foundation in trapped ion quantum computers.,HMN,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.82.1971,,
2001,,"Duan, Lukin, Cirac, and Zoller publish a protocol for long-distance quantum communication with atoms and photos. The ‘DLCZ protocol’ has inspired many experiments and also theory proposals.",HMN,https://www.nature.com/articles/35106500 ,https://arxiv.org/abs/quant-ph/0105105,
2004,"Manchester, UK","Isolation of graphene. Graphene, a single-atom-thick layer of carbon atoms, was first isolated by Andre Geim and Konstantin Novoselov at the University of Manchester, using a ""Scotch tape"" method, and their work earned them the 2010 Nobel Prize in Physics. ",AZ,"https://www.graphene.manchester.ac.uk/learn/discovery-of-graphene/#:~:text=That%20was%20until%20it%20was,Physics%20for%20their%20pioneering%20work.",,
2005,,"The Nobel Prize in physics is awarded to Roy J. Glauber ""for his contribution to the quantum theory of optical coherence"", and John L. Hall and Theodor W. Hänsch ""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique.""",HMN,https://www.nobelprize.org/prizes/physics/2005/summary/,https://www.nist.gov/topics/physics/optical-frequency-combs ,
2010,"Paris, France",Atoms are entangled using the Rydberg blockade for the first time in the group of Antoine Browaeys. The Rydberg blockade is a mechanism where a highly excited atom blocks its neighboring atoms from also getting excited by shifting their energy levels to be off-resonance with the exciting laser. ,HMN,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.010502  ,https://physics.aps.org/articles/v3/s9,
2010,"Madison, Wisconsin, USA",A controlled-NOT quantum gate between atoms is demonstrated for the first time in the group of Mark Saffman at the University of Wisconsin. ,HMN,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.010503,https://physics.aps.org/articles/v3/s9,
2012,,"Caltech professor John Preskill coins the term ‘quantum supremacy.’ This term, along with ‘quantum advantage,’ refer to when quantum computers preform better than classical ones. ",HMN,https://www.quantamagazine.org/john-preskill-explains-quantum-supremacy-20191002/,,
2013,,Deborah Jin is honored by the ’Oréal-UNESCO For Women in Science International Award in recognition “for having been the first to cool down molecules so much that she can observe chemical reactions in slow motion which may help further understanding of molecular processes which are important for medicine or new energy sources.”,HMN,https://www.fondationloreal.com/our-programs-women-science/laureates-loreal-unesco-women-science-international-award,,
2014,,"Isamu Akasaki, Hiroshi Amano and Shuji Nakamura are awarded the Nobel Prize in Physics for inventing the blue light-emitting diode (LED).",HMN,https://spectrum.ieee.org/blue-leds-changed-our-world,https://www.nobelprize.org/prizes/physics/2014/press-release/,
2016,,"The Chinese Academy of Science launches the quantum communications satellite Micius. Since its launch, Micius has performed several experiments in quantum communication and fundamental physics.",HMN,https://physics.aps.org/featured-article-pdf/10.1103/RevModPhys.94.035001 ,https://physics.aps.org/articles/v15/172,
2018,"Cambridge, MA, USA","Superconductivity is detected in magic-angle twisted bilayer graphene, leading to the beginning of a field known as ""twistronics,"" the study of twisted 2D materials and their physical properties.",AZ,https://www.nature.com/articles/nature26160,,
2018,,The National Quantum Initiative Act is signed into US law. ,HMN,https://www.quantum.gov/,,
2019,"Pasadena, CA, USA","NASA launches the Deep Space Atomic Clock, which actually uses mercury ions for precise timekeeping.",HMN,https://www.nasa.gov/mission/deep-space-atomic-clock-dsac/ ,,
2020,"Cambridge, MA, USA","A polyatomic molecule is directly laser cooled for the first time by the Doyle group at Harvard. Ultracold molecules are one system which researchers use in quantum experiments. While there have been several experiments using molecules of two atoms like KRb or CaF, this is the first time a molecule made of more than two atoms was directly cooled by a laser.",HMN,https://news.harvard.edu/gazette/story/2020/09/harvard-team-uses-laser-to-cool-polyatomic-molecule/,https://www.jpl.nasa.gov/news/what-is-an-atomic-clock/,
2021,,"The peer-reviewed journal Nature retracts an article originally published in April 2018, in which researchers at Microsoft claimed they created ‘Majorana particles.’ Majorana particles have unique ‘topological’ properties which would make them useful for quantum computing, but the findings in this paper were invalidated. The search for Majorana particles continues, with Microsoft recently publishing a paper with claims about their progress towards topological qubits. ",HMN,https://www.technologyreview.com/2024/05/15/1092535/a-wave-of-retractions-is-shaking-physics/,https://www.nature.com/articles/nature26142.epdf?sharing_token=3TbBh4VDEfwPa2fpl8GMYNRgN0jAjWel9jnR3ZoTv0NMVncI8f_WxeBXL9qVmz8rhsUw_2BmLBpyh2pBfhpr2GFLV2d0Q7N36s7WCAqzB1Eb8_s47V3WIVdtQ9eSypNnb3UYZ6HNcfdw1Yckx6XMEhhG-sE6ZXDo8_88caS1JOb7d4usact1il4sVomqvs5oi0M4Ku2BSPvCMFwhcVaLaWv-9WXQd-_C3Bs7cnLyNdU%3D&tracking_referrer=www.technologyreview.com,https://thequantuminsider.com/2025/02/19/microsofts-majorana-topological-chip-an-advance-17-years-in-the-making/
2021,"Hefei, Anhui, China; Cambridge, MA, USA; Chicago, IL, USA.","The University of Science and Technology of China (USTC), Harvard University, and the University of Chicago launch PhD programs in Quantum Science.",HMN,https://news.harvard.edu/gazette/story/2021/04/harvard-launches-new-ph-d-program-in-quantum-science/,"https://english.cas.cn/newsroom/cas_media/202111/t20211130_293275.shtml#:~:text=China%20Approves%20First%20Doctoral%20Degree%20Program%20in,country%27s%20first%20doctoral%20program%20in%20this%20field.",https://chicagoquantum.org/news/pme-announces-quantum-science-and-engineering-phd
2022,,"The Noble Prize in Physics is awarded to Alain Aspect, John Clauser and Anton Zeilinger “for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science.” Bell-type measurements are an important tool, and have been performed in many labs. ",HMN,https://www.nobelprize.org/prizes/physics/2022/summary/ ,,
2023,"Broomfield, Colorado, USA","The company Quantinuum releases their “Quantinuum System Model H2” trapped ion quantum computer, which uses a new ‘race-track’ architecture. ",HMN,https://physics.aps.org/articles/v16/209,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.13.041052  ,
2024,"Chicago, IL, USA","Atoms from two different elements are entangled for the first time by the Bernien group at the University of Chicago. The group’s experimental apparatus, which uses individually positioned Rubidium-87 and Cesium-133 atoms, is a proof-of-concept for a ‘dual-species Rydberg atom array’ architecture for quantum computing and simulation. ",HMN,https://www.nature.com/articles/s41567-024-02638-2 ,,
2025,"Cambridge, MA, USA",Researchers demonstrate a universal two-qubit gate between molecules for the first time in the group of Kang Kuen Ni at Harvard. ,HMN,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.010503,https://physics.aps.org/articles/v3/s9,
