Lambda (nm),Specific Intensity (W/m^3*Sr)
4.477386934673367023e+02,1.923676784296931641e+13
4.512562814070352033e+02,1.934935194216064844e+13
4.547738693467337043e+02,1.951682740655030469e+13
4.582914572864322054e+02,1.961108620535273828e+13
4.618090452261306496e+02,1.956393821390760938e+13
4.653266331658291506e+02,1.971752396985010156e+13
4.688442211055276516e+02,1.991423107924064844e+13
4.723618090452260958e+02,1.980965072017197266e+13
4.758793969849245968e+02,2.023754322504240625e+13
4.793969849246230979e+02,2.014957836613673047e+13
4.829145728643215989e+02,2.003956708345946484e+13
4.864321608040200999e+02,2.010809900299664453e+13
4.899497487437186010e+02,2.021594587449189062e+13
4.934673366834171020e+02,2.036192993603546875e+13
4.969849246231156030e+02,2.052812840292405078e+13
5.005025125628141041e+02,2.018442734440120703e+13
5.040201005025126051e+02,2.050836987580860938e+13
5.075376884422110493e+02,2.056164911261722656e+13
5.110552763819095503e+02,2.035110492036296484e+13
5.145728643216079945e+02,2.054247199701574219e+13
5.180904522613066092e+02,2.048860170838551172e+13
5.216080402010049966e+02,2.049638751078612109e+13
5.251256281407034976e+02,2.061287541744858203e+13
5.286432160804019986e+02,2.055160112951101953e+13
5.321608040201004997e+02,2.056407349510064453e+13
5.356783919597990007e+02,2.055584369701683203e+13
5.391959798994975017e+02,2.053461535958942578e+13
5.427135678391960028e+02,2.040493489384930859e+13
5.462311557788945038e+02,2.049864163075917969e+13
5.497487437185930048e+02,2.043006791118828516e+13
5.532663316582915058e+02,2.040375532284928906e+13
5.567839195979900069e+02,2.032855387819349219e+13
5.603015075376883942e+02,2.021462074685955859e+13
5.638190954773870089e+02,2.026194340562229297e+13
5.673366834170853963e+02,2.027536255657841016e+13
5.708542713567840110e+02,2.017748249214612500e+13
5.743718592964823983e+02,2.017496754085286719e+13
5.778894472361808994e+02,2.017076512396835156e+13
5.814070351758794004e+02,2.003712861591938672e+13
5.849246231155779014e+02,1.992837137105105078e+13
5.884422110552764025e+02,2.005224548502778906e+13
5.919597989949749035e+02,1.988815079936703906e+13
5.954773869346734045e+02,1.983260592804830859e+13
5.989949748743717919e+02,1.980941918249788672e+13
6.025125628140704066e+02,1.968849094031135938e+13
6.060301507537687939e+02,1.963117759735697266e+13
6.095477386934674087e+02,1.936943499827033594e+13
6.130653266331657960e+02,1.942748668784592578e+13
6.165829145728644107e+02,1.936202110313194141e+13
6.201005025125627981e+02,1.915633368360731250e+13
6.236180904522612991e+02,1.917651832679755078e+13
6.271356783919598001e+02,1.939552648787836719e+13
6.306532663316583012e+02,1.909230625132552344e+13
6.341708542713568022e+02,1.887494374768243359e+13
6.376884422110553032e+02,1.905210599975868750e+13
6.412060301507538043e+02,1.882664949857700391e+13
6.447236180904521916e+02,1.879329747574867578e+13
6.482412060301508063e+02,1.872257223482704688e+13
6.517587939698491937e+02,1.842405513676018750e+13
6.552763819095478084e+02,1.861526941265305859e+13
6.587939698492461957e+02,1.828049550003574609e+13
6.623115577889448105e+02,1.834627605745916797e+13
6.658291457286431978e+02,1.839018071875600000e+13
6.693467336683416988e+02,1.808048099949389844e+13
6.728643216080401999e+02,1.809266698864113281e+13
6.763819095477387009e+02,1.774639687522805859e+13
6.798994974874372019e+02,1.798213141891537500e+13
6.834170854271357030e+02,1.767958623372635156e+13
6.869346733668342040e+02,1.765734219863457031e+13
6.904522613065327050e+02,1.751040336642460156e+13
6.939698492462312061e+02,1.734533429892190039e+13
6.974874371859295934e+02,1.747591208570799219e+13
7.010050251256282081e+02,1.740038207727616602e+13
7.045226130653265955e+02,1.719682316424354102e+13
7.080402010050252102e+02,1.699349032364004297e+13
7.115577889447235975e+02,1.693578962232164844e+13
7.150753768844220986e+02,1.669862060563937305e+13
7.185929648241205996e+02,1.665899523158750391e+13
7.221105527638191006e+02,1.657394800289229102e+13
7.256281407035176017e+02,1.636589015317626953e+13
7.291457286432161027e+02,1.638799229358397852e+13
7.326633165829146037e+02,1.626988722950694727e+13
7.361809045226131047e+02,1.628650847656694531e+13
7.396984924623116058e+02,1.590684611002449805e+13
7.432160804020099931e+02,1.606936993113953320e+13
7.467336683417086078e+02,1.578717051066733008e+13
7.502512562814069952e+02,1.591363971275076367e+13
7.537688442211056099e+02,1.559783557211498242e+13
7.572864321608039972e+02,1.562535148423177930e+13
7.608040201005026120e+02,1.543480982533777734e+13
7.643216080402009993e+02,1.537923065493202539e+13
7.678391959798995003e+02,1.524280852993147852e+13
7.713567839195980014e+02,1.548630814729978320e+13
7.748743718592965024e+02,1.495032259467763867e+13
7.783919597989950034e+02,1.498392141858623438e+13
7.819095477386935045e+02,1.503260258527296094e+13
7.854271356783920055e+02,1.468706287562122266e+13
7.889447236180903928e+02,1.457457368496653906e+13
7.924623115577890076e+02,1.442704804217966211e+13
7.959798994974873949e+02,1.437442064473164453e+13
7.994974874371860096e+02,1.434002862826524414e+13
8.030150753768843970e+02,1.439292519827032227e+13
8.065326633165830117e+02,1.409658384007492188e+13
8.100502512562813990e+02,1.411204948124238477e+13
8.135678391959799001e+02,1.413646898731177344e+13
8.170854271356784011e+02,1.381675806986734570e+13
8.206030150753769021e+02,1.393666324488304102e+13
8.241206030150754032e+02,1.336463215336735547e+13
8.276381909547739042e+02,1.366349474433248047e+13
8.311557788944724052e+02,1.344981675932378125e+13
8.346733668341709063e+02,1.343675776753639453e+13
8.381909547738694073e+02,1.319726855095251367e+13
8.417085427135679083e+02,1.322771098173725586e+13
8.452261306532662957e+02,1.310724477100261914e+13
8.487437185929647967e+02,1.297335437248800000e+13
8.522613065326632977e+02,1.269135424529479492e+13
8.557788944723617988e+02,1.297071276972599023e+13
8.592964824120602998e+02,1.259447856842225586e+13
8.628140703517588008e+02,1.250809856728203320e+13
8.663316582914573019e+02,1.256519841554827734e+13
8.698492462311558029e+02,1.267547061455915039e+13
8.733668341708543039e+02,1.220173951541238477e+13
8.768844221105528050e+02,1.225708448261620117e+13
8.804020100502513060e+02,1.217684672857939648e+13
8.839195979899498070e+02,1.178660877734548633e+13
8.874371859296483080e+02,1.193251158633440625e+13
8.909547738693468091e+02,1.189873133018051758e+13
8.944723618090451964e+02,1.167577098958854297e+13
8.979899497487436975e+02,1.169768062829731055e+13
9.015075376884421985e+02,1.154312093602097070e+13
9.050251256281406995e+02,1.146917551374693164e+13
9.085427135678392006e+02,1.163450125717958398e+13
9.120603015075377016e+02,1.119035421786359570e+13
9.155778894472362026e+02,1.127145803628706836e+13
9.190954773869347036e+02,1.114489031709478516e+13
9.226130653266332047e+02,1.109051437019123242e+13
9.261306532663317057e+02,1.099000213773639453e+13
9.296482412060302067e+02,1.091214826802493945e+13
9.331658291457287078e+02,1.080137211293454297e+13
9.366834170854272088e+02,1.062660818061348047e+13
9.402010050251255961e+02,1.070285912270502539e+13
9.437185929648240972e+02,1.067408735956533789e+13
9.472361809045225982e+02,1.055182415149352344e+13
9.507537688442210992e+02,1.034945537100774219e+13
9.542713567839196003e+02,1.069122237498147461e+13
9.577889447236181013e+02,1.027005843850605469e+13
9.613065326633166023e+02,1.023096162262190820e+13
9.648241206030151034e+02,1.022956410010362891e+13
9.683417085427136044e+02,1.022790046489593359e+13
9.718592964824121054e+02,9.790107656923203125e+12
9.753768844221106065e+02,9.967816055386914062e+12
9.788944723618091075e+02,9.760616980673500000e+12
9.824120603015076085e+02,9.799544784093001953e+12
9.859296482412061096e+02,9.643322357055917969e+12
9.894472361809044969e+02,9.643795958344091797e+12
9.929648241206029979e+02,9.547717280836216797e+12
9.964824120603014990e+02,9.461643757796125000e+12
1.000000000000000000e+03,9.485264752817611328e+12
